row_type,source,retrieved_at_utc,menu,category_path,category,subcategory,product_name,product_number,form_code,product_type,availability,size_code,default_size,sku,uri,image_url,notes
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Tropical Butterfly Energy Refresher,40623,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/40623/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/TropicalButterflyRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Tropical Butterfly Energy Refresher,40623,Iced,Beverage,Available,Grande,Grande,11190849,https://www.starbucks.com/menu/product/40623/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/TropicalButterflyRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Tropical Butterfly Energy Refresher,40623,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/40623/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/TropicalButterflyRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Tropical Butterfly Energy Refresher,40623,Iced,Beverage,Available,Trenta,Grande,,https://www.starbucks.com/menu/product/40623/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/TropicalButterflyRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Butterfly Energy Drink,40654,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/40654/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/ButterflyDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Butterfly Energy Drink,40654,Iced,Beverage,Available,Grande,Grande,11190568,https://www.starbucks.com/menu/product/40654/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/ButterflyDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Butterfly Energy Drink,40654,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/40654/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/ButterflyDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Butterfly Energy Drink,40654,Iced,Beverage,Available,Trenta,Grande,,https://www.starbucks.com/menu/product/40654/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/ButterflyDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Strawberry Açaí Lemonade Energy Refresher,40495,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/40495/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/StrawberryAcaiLemonadeRefreshers,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Strawberry Açaí Lemonade Energy Refresher,40495,Iced,Beverage,Available,Grande,Grande,11188735,https://www.starbucks.com/menu/product/40495/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/StrawberryAcaiLemonadeRefreshers,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Strawberry Açaí Lemonade Energy Refresher,40495,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/40495/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/StrawberryAcaiLemonadeRefreshers,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Strawberry Açaí Lemonade Energy Refresher,40495,Iced,Beverage,Available,Trenta,Grande,,https://www.starbucks.com/menu/product/40495/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/StrawberryAcaiLemonadeRefreshers,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Mango Strawberry Lemonade Energy Refresher,40494,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/40494/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/MangoStrawberryLemonadeRefresher,
